+------------+--------------+-----------------------+--------------------------------+
| Material   |   In domain? |   GPR predicted error |   0.92788 * RF predicted Error |
| Zr         |            1 |              0.563593 |                      0.34278   |
| Zr         |            1 |              0.529082 |                      0.690005  |
+------------+--------------+-----------------------+--------------------------------+
+------------+--------------+-----------------------+--------------------------------+
| Material   |   In domain? |   GPR predicted error |   0.92788 * RF predicted Error |
|------------+--------------+-----------------------+--------------------------------|
| Al         |            1 |             0.481781  |                      0.240705  |
| Al         |            1 |             0.397561  |                      0.269436  |
| Al         |            1 |             0.331914  |                      0.211699  |
| Al         |            1 |             0.399008  |                      0.284918  |
| Al         |            1 |             0.387946  |                      0.190638  |
| Al         |            1 |             0.526483  |                      0.282883  |
| Al         |            1 |             0.305548  |                      0.16456   |
| Al         |            1 |             0.535811  |                      0.211674  |
| Al         |            1 |             0.175747  |                      0.599757  |
| Al         |            1 |             0.227204  |                      0.785419  |
| Al         |            1 |             0.331307  |                      0.24564   |
| Al         |            1 |             0.102079  |                      0.185014  |
| Al         |            1 |             0.0996538 |                      0.464216  |
| Al         |            1 |             0.102088  |                      0.132714  |
| Al         |            1 |             0.101992  |                      0.119364  |
| Al         |            1 |             0.101128  |                      0.549445  |
| Al         |            1 |             0.102363  |                      0.0929729 |
| Al         |            1 |             0.101717  |                      0.0818204 |
| Al         |            1 |             0.101598  |                      0.490865  |
| Al         |            1 |             0.10241   |                      0.318918  |
| Al         |            1 |             0.102433  |                      0.132844  |
| Al         |            1 |             0.101163  |                      0.487086  |
| Al         |            1 |             0.100971  |                      0.347482  |
| Al         |            1 |             0.102783  |                      0.226027  |
| Al         |            1 |             0.1016    |                      0.601589  |
| Al         |            1 |             0.101963  |                      0.211872  |
| Al         |            1 |             0.100961  |                      0.359485  |
| Al         |            1 |             0.101696  |                      0.407642  |
| Al         |            1 |             0.102681  |                      0.140546  |
| Al         |            1 |             0.101971  |                      0.13062   |
| Al         |            1 |             0.101387  |                      0.355647  |
| Al         |            1 |             0.101701  |                      0.394078  |
| Al         |            1 |             0.101537  |                      0.463786  |
| Al         |            1 |             0.100634  |                      0.606971  |
| Al         |            1 |             0.100353  |                      0.51054   |
| Al         |            1 |             0.102413  |                      0.176409  |
| Al         |            1 |             0.101615  |                      0.121149  |
| Al         |            1 |             0.101527  |                      0.405044  |
| Al         |            1 |             0.102327  |                      0.300158  |
| Al         |            1 |             0.102348  |                      0.290986  |
| Al         |            1 |             0.101918  |                      0.0915935 |
| Al         |            1 |             0.101359  |                      0.408275  |
| Al         |            1 |             0.102079  |                      0.54459   |
| Al         |            1 |             0.102206  |                      0.202189  |
| Al         |            1 |             0.101102  |                      0.649235  |
| Al         |            1 |             0.102165  |                      0.129175  |
| Al         |            1 |             0.100425  |                      0.667799  |
| Al         |            1 |             0.101676  |                      0.442498  |
| Al         |            1 |             0.101707  |                      0.336479  |
| Al         |            1 |             0.102178  |                      0.156594  |
| Al         |            1 |             0.100705  |                      0.491973  |
| Au         |            1 |             0.481781  |                      0.240705  |
| Au         |            1 |             0.397561  |                      0.269436  |
| Au         |            1 |             0.331914  |                      0.211699  |
| Au         |            1 |             0.399008  |                      0.284918  |
| Au         |            1 |             0.387946  |                      0.190638  |
| Au         |            1 |             0.526483  |                      0.282883  |
| Au         |            1 |             0.305548  |                      0.16456   |
| Au         |            1 |             0.535811  |                      0.211674  |
| Au         |            1 |             0.175747  |                      0.599757  |
| Au         |            1 |             0.227204  |                      0.785419  |
| Au         |            1 |             0.331307  |                      0.24564   |
+------------+--------------+-----------------------+--------------------------------+
+------------+--------------+-----------------------+--------------------------------+
| Material   |   In domain? |   GPR predicted error |   0.92788 * RF predicted Error |
|------------+--------------+-----------------------+--------------------------------|
| Al         |            1 |              0.117321 |                      0.213171  |
| Al         |            1 |              0.116052 |                      0.127369  |
| Al         |            1 |              0.116547 |                      0.127028  |
| Al         |            1 |              0.116633 |                      0.200185  |
| Al         |            1 |              0.116844 |                      0.131609  |
| Al         |            1 |              0.117462 |                      0.246431  |
| Al         |            1 |              0.11599  |                      0.176175  |
| Al         |            1 |              0.1175   |                      0.122368  |
| Al         |            1 |              0.112525 |                      0.420572  |
| Al         |            1 |              0.11441  |                      0.460905  |
| Al         |            1 |              0.115699 |                      0.215617  |
| Al         |            1 |              0.361704 |                      0.353236  |
| Al         |            1 |              0.185248 |                      0.602252  |
| Al         |            1 |              0.375534 |                      0.212162  |
| Al         |            1 |              0.341836 |                      0.273286  |
| Al         |            1 |              0.272611 |                      0.694799  |
| Al         |            1 |              0.403984 |                      0.187444  |
| Al         |            1 |              0.116522 |                      0.189921  |
| Al         |            1 |              0.116004 |                      0.442787  |
| Al         |            1 |              0.117167 |                      0.273563  |
| Al         |            1 |              0.117162 |                      0.10874   |
| Al         |            1 |              0.115779 |                      0.500121  |
| Al         |            1 |              0.11509  |                      0.400495  |
| Al         |            1 |              0.117692 |                      0.238396  |
| Al         |            1 |              0.116013 |                      0.494501  |
| Al         |            1 |              0.116874 |                      0.116292  |
| Al         |            1 |              0.112988 |                      0.339297  |
| Al         |            1 |              0.116157 |                      0.423084  |
| Al         |            1 |              0.117613 |                      0.182103  |
| Al         |            1 |              0.116498 |                      0.12356   |
| Al         |            1 |              0.115561 |                      0.317663  |
| Al         |            1 |              0.115838 |                      0.400799  |
| Al         |            1 |              0.115896 |                      0.426625  |
| Al         |            1 |              0.114605 |                      0.389076  |
| Al         |            1 |              0.11412  |                      0.50469   |
| Al         |            1 |              0.117206 |                      0.264114  |
| Al         |            1 |              0.115857 |                      0.110111  |
| Al         |            1 |              0.115886 |                      0.434243  |
| Al         |            1 |              0.116982 |                      0.287617  |
| Al         |            1 |              0.117196 |                      0.299668  |
| Al         |            1 |              0.116451 |                      0.107188  |
| Al         |            1 |              0.116151 |                      0.42074   |
| Al         |            1 |              0.11671  |                      0.460199  |
| Al         |            1 |              0.116912 |                      0.179476  |
| Al         |            1 |              0.115249 |                      0.628621  |
| Al         |            1 |              0.116801 |                      0.159926  |
| Al         |            1 |              0.113358 |                      0.646945  |
| Al         |            1 |              0.116111 |                      0.408626  |
| Al         |            1 |              0.116062 |                      0.4441    |
| Al         |            1 |              0.116406 |                      0.0759354 |
| Al         |            1 |              0.115584 |                      0.510191  |
| Ca         |            1 |              0.361704 |                      0.353236  |
| Ca         |            1 |              0.185248 |                      0.602252  |
| Ca         |            1 |              0.375534 |                      0.212162  |
| Ca         |            1 |              0.341836 |                      0.273286  |
| Ca         |            1 |              0.272611 |                      0.694799  |
| Ca         |            1 |              0.403984 |                      0.187444  |
+------------+--------------+-----------------------+--------------------------------+
+------------+--------------+-----------------------+--------------------------------+
| Material   |   In domain? |   GPR predicted error |   0.92788 * RF predicted Error |
|------------+--------------+-----------------------+--------------------------------|
| Al         |            1 |              0.110388 |                      0.153458  |
| Al         |            1 |              0.109298 |                      0.124481  |
| Al         |            1 |              0.109884 |                      0.135106  |
| Al         |            1 |              0.110112 |                      0.254585  |
| Al         |            1 |              0.110326 |                      0.162601  |
| Al         |            1 |              0.110593 |                      0.300826  |
| Al         |            1 |              0.109407 |                      0.0915416 |
| Al         |            1 |              0.110656 |                      0.264196  |
| Al         |            1 |              0.107526 |                      0.684573  |
| Al         |            1 |              0.109035 |                      0.495342  |
| Al         |            1 |              0.109105 |                      0.0876787 |
| Al         |            1 |              0.110343 |                      0.241885  |
| Al         |            1 |              0.10707  |                      0.520066  |
| Al         |            1 |              0.110117 |                      0.125328  |
| Al         |            1 |              0.109816 |                      0.178247  |
| Al         |            1 |              0.110077 |                      0.353377  |
| Al         |            1 |              0.110081 |                      0.105798  |
| Al         |            1 |              0.359915 |                      0.164112  |
| Al         |            1 |              0.456132 |                      0.33993   |
| Al         |            1 |              0.465308 |                      0.603064  |
| Al         |            1 |              0.447089 |                      0.185643  |
| Al         |            1 |              0.270544 |                      0.675644  |
| Al         |            1 |              0.359895 |                      0.464397  |
| Al         |            1 |              0.608994 |                      0.236815  |
| Al         |            1 |              0.369192 |                      0.39734   |
| Al         |            1 |              0.327018 |                      0.326808  |
| Al         |            1 |              0.198093 |                      0.674268  |
| Al         |            1 |              0.478361 |                      0.397287  |
| Al         |            1 |              0.658719 |                      0.350315  |
| Al         |            1 |              0.405746 |                      0.229878  |
| Al         |            1 |              0.322735 |                      0.529926  |
| Al         |            1 |              0.376919 |                      0.681875  |
| Al         |            1 |              0.452881 |                      0.468701  |
| Al         |            1 |              0.357626 |                      0.538384  |
| Al         |            1 |              0.370554 |                      0.30522   |
| Al         |            1 |              0.565489 |                      0.306416  |
| Al         |            1 |              0.346423 |                      0.171445  |
| Al         |            1 |              0.399796 |                      0.549137  |
| Al         |            1 |              0.462745 |                      0.287545  |
| Al         |            1 |              0.435647 |                      0.284242  |
| Al         |            1 |              0.398943 |                      0.142422  |
| Al         |            1 |              0.358694 |                      0.473168  |
| Al         |            1 |              0.40444  |                      0.405252  |
| Al         |            1 |              0.470417 |                      0.252467  |
| Al         |            1 |              0.367139 |                      0.671559  |
| Al         |            1 |              0.453237 |                      0.213257  |
| Al         |            1 |              0.264482 |                      0.481863  |
| Al         |            1 |              0.464462 |                      0.510532  |
| Al         |            1 |              0.361785 |                      0.518185  |
| Al         |            1 |              0.339104 |                      0.174691  |
| Al         |            1 |              0.303614 |                      0.679814  |
| Cu         |            1 |              0.359915 |                      0.164112  |
| Cu         |            1 |              0.456132 |                      0.33993   |
| Cu         |            1 |              0.465308 |                      0.603064  |
| Cu         |            1 |              0.447089 |                      0.185643  |
| Cu         |            1 |              0.270544 |                      0.675644  |
| Cu         |            1 |              0.359895 |                      0.464397  |
| Cu         |            1 |              0.608994 |                      0.236815  |
| Cu         |            1 |              0.369192 |                      0.39734   |
| Cu         |            1 |              0.327018 |                      0.326808  |
| Cu         |            1 |              0.198093 |                      0.674268  |
| Cu         |            1 |              0.478361 |                      0.397287  |
| Cu         |            1 |              0.658719 |                      0.350315  |
| Cu         |            1 |              0.405746 |                      0.229878  |
| Cu         |            1 |              0.322735 |                      0.529926  |
| Cu         |            1 |              0.376919 |                      0.681875  |
| Cu         |            1 |              0.452881 |                      0.468701  |
| Cu         |            1 |              0.357626 |                      0.538384  |
| Cu         |            1 |              0.370554 |                      0.30522   |
| Cu         |            1 |              0.565489 |                      0.306416  |
| Cu         |            1 |              0.346423 |                      0.171445  |
| Cu         |            1 |              0.399796 |                      0.549137  |
| Cu         |            1 |              0.462745 |                      0.287545  |
| Cu         |            1 |              0.435647 |                      0.284242  |
| Cu         |            1 |              0.398943 |                      0.142422  |
| Cu         |            1 |              0.358694 |                      0.473168  |
| Cu         |            1 |              0.40444  |                      0.405252  |
| Cu         |            1 |              0.470417 |                      0.252467  |
| Cu         |            1 |              0.367139 |                      0.671559  |
| Cu         |            1 |              0.453237 |                      0.213257  |
| Cu         |            1 |              0.264482 |                      0.481863  |
| Cu         |            1 |              0.464462 |                      0.510532  |
| Cu         |            1 |              0.361785 |                      0.518185  |
| Cu         |            1 |              0.339104 |                      0.174691  |
| Cu         |            1 |              0.303614 |                      0.679814  |
| Cu         |            1 |              0.478354 |                      0.235023  |
| Cu         |            1 |              0.387708 |                      0.271139  |
| Cu         |            1 |              0.394967 |                      0.29755   |
| Cu         |            1 |              0.263119 |                      0.40253   |
| Cu         |            1 |              0.329006 |                      0.470483  |
| Cu         |            1 |              0.295528 |                      0.372012  |
+------------+--------------+-----------------------+--------------------------------+
+------------+--------------+-----------------------+--------------------------------+
| Material   |   In domain? |   GPR predicted error |   0.92788 * RF predicted Error |
|------------+--------------+-----------------------+--------------------------------|
| Al         |            1 |              0.112221 |                      0.183426  |
| Al         |            1 |              0.111186 |                      0.148351  |
| Al         |            1 |              0.11133  |                      0.105493  |
| Al         |            1 |              0.11172  |                      0.258415  |
| Al         |            1 |              0.111866 |                      0.134422  |
| Al         |            1 |              0.112343 |                      0.218627  |
| Al         |            1 |              0.110893 |                      0.11672   |
| Al         |            1 |              0.112309 |                      0.158649  |
| Al         |            1 |              0.10731  |                      0.562483  |
| Al         |            1 |              0.109584 |                      0.45239   |
| Al         |            1 |              0.111038 |                      0.112618  |
| Al         |            1 |              0.111535 |                      0.210984  |
| Al         |            1 |              0.107627 |                      0.41909   |
| Al         |            1 |              0.111686 |                      0.106803  |
| Al         |            1 |              0.111401 |                      0.237701  |
| Al         |            1 |              0.110501 |                      0.423652  |
| Al         |            1 |              0.111944 |                      0.127004  |
| Al         |            1 |              0.11121  |                      0.114822  |
| Al         |            1 |              0.111178 |                      0.506753  |
| Al         |            1 |              0.112074 |                      0.354058  |
| Al         |            1 |              0.112114 |                      0.112357  |
| Al         |            1 |              0.110489 |                      0.369845  |
| Al         |            1 |              0.11036  |                      0.491887  |
| Al         |            1 |              0.112518 |                      0.230088  |
| Al         |            1 |              0.111141 |                      0.400867  |
| Al         |            1 |              0.111189 |                      0.161825  |
| Al         |            1 |              0.108388 |                      0.412639  |
| Al         |            1 |              0.111301 |                      0.384462  |
| Al         |            1 |              0.112442 |                      0.154445  |
| Al         |            1 |              0.111567 |                      0.126365  |
| Al         |            1 |              0.110758 |                      0.344967  |
| Al         |            1 |              0.111015 |                      0.42391   |
| Al         |            1 |              0.111092 |                      0.43221   |
| Al         |            1 |              0.109978 |                      0.535542  |
| Al         |            1 |              0.109551 |                      0.536345  |
| Al         |            1 |              0.112138 |                      0.233868  |
| Al         |            1 |              0.11096  |                      0.115553  |
| Al         |            1 |              0.110992 |                      0.443657  |
| Al         |            1 |              0.111891 |                      0.268442  |
| Al         |            1 |              0.111986 |                      0.299989  |
| Al         |            1 |              0.111477 |                      0.0966147 |
| Al         |            1 |              0.110766 |                      0.497562  |
| Al         |            1 |              0.111677 |                      0.454276  |
| Al         |            1 |              0.111834 |                      0.141564  |
| Al         |            1 |              0.110402 |                      0.488671  |
| Al         |            1 |              0.111762 |                      0.142319  |
| Al         |            1 |              0.108808 |                      0.575818  |
| Al         |            1 |              0.111216 |                      0.410541  |
| Al         |            1 |              0.111088 |                      0.411113  |
| Al         |            1 |              0.111485 |                      0.0842778 |
| Al         |            1 |              0.109922 |                      0.480306  |
| Fe         |            1 |              0.299725 |                      0.632681  |
| Fe         |            1 |              0.308779 |                      0.646961  |
| Fe         |            1 |              0.360706 |                      0.684268  |
| Fe         |            1 |              0.497512 |                      0.544794  |
| Fe         |            1 |              0.368965 |                      0.589081  |
| Fe         |            0 |              1.03055  |                      0.209327  |
| Fe         |            0 |              0.897407 |                      0.409406  |
| Fe         |            0 |              0.878627 |                      0.30342   |
| Fe         |            0 |              0.886772 |                      0.731573  |
| Fe         |            0 |              0.949148 |                      0.430674  |
| Fe         |            0 |              0.880544 |                      0.707654  |
| Fe         |            1 |              0.389823 |                      0.152682  |
| Fe         |            1 |              0.33233  |                      0.193163  |
| Fe         |            1 |              0.370083 |                      0.147179  |
| Fe         |            1 |              0.379404 |                      0.235839  |
| Fe         |            1 |              0.383202 |                      0.219485  |
| Fe         |            1 |              0.303424 |                      0.175957  |
| Fe         |            1 |              0.269587 |                      0.323745  |
| Fe         |            1 |              0.243105 |                      0.367324  |
| Fe         |            1 |              0.25892  |                      0.340337  |
| Fe         |            1 |              0.379226 |                      0.176907  |
| Fe         |            1 |              0.353204 |                      0.178136  |
| Fe         |            1 |              0.256095 |                      0.416368  |
| Fe         |            1 |              0.3963   |                      0.210475  |
| Fe         |            1 |              0.327273 |                      0.143606  |
| Fe         |            1 |              0.340128 |                      0.497842  |
| Fe         |            1 |              0.408231 |                      0.285317  |
| Fe         |            1 |              0.279276 |                      0.362745  |
| Fe         |            1 |              0.261211 |                      0.442307  |
| Fe         |            1 |              0.287028 |                      0.49662   |
| Fe         |            1 |              0.276332 |                      0.28528   |
| Fe         |            1 |              0.347008 |                      0.476698  |
| Fe         |            1 |              0.329545 |                      0.177677  |
| Fe         |            1 |              0.305657 |                      0.373885  |
| Fe         |            1 |              0.343393 |                      0.396557  |
| Fe         |            1 |              0.313106 |                      0.490115  |
| Fe         |            1 |              0.318314 |                      0.388332  |
| Fe         |            1 |              0.308662 |                      0.435796  |
| Fe         |            1 |              0.473504 |                      0.518219  |
| Fe         |            1 |              0.323562 |                      0.123314  |
+------------+--------------+-----------------------+--------------------------------+
+------------+--------------+-----------------------+--------------------------------+
| Material   |   In domain? |   GPR predicted error |   0.92788 * RF predicted Error |
|------------+--------------+-----------------------+--------------------------------|
| Al         |            1 |              0.123516 |                      0.259638  |
| Al         |            1 |              0.122077 |                      0.114835  |
| Al         |            1 |              0.122369 |                      0.137585  |
| Al         |            1 |              0.122736 |                      0.222088  |
| Al         |            1 |              0.122951 |                      0.124062  |
| Al         |            1 |              0.123708 |                      0.20391   |
| Al         |            1 |              0.12166  |                      0.0939577 |
| Al         |            1 |              0.123714 |                      0.145054  |
| Al         |            1 |              0.117116 |                      0.554222  |
| Al         |            1 |              0.120031 |                      0.472585  |
| Al         |            1 |              0.121684 |                      0.113063  |
| Al         |            1 |              0.122689 |                      0.228464  |
| Al         |            1 |              0.117516 |                      0.403953  |
| Al         |            1 |              0.12277  |                      0.0977433 |
| Al         |            1 |              0.122402 |                      0.0863526 |
| Al         |            1 |              0.121252 |                      0.457616  |
| Al         |            1 |              0.123101 |                      0.146875  |
| Al         |            1 |              0.122166 |                      0.181391  |
| Al         |            1 |              0.122021 |                      0.461959  |
| Al         |            1 |              0.12336  |                      0.362216  |
| Al         |            1 |              0.123357 |                      0.114954  |
| Al         |            1 |              0.121155 |                      0.549214  |
| Al         |            1 |              0.120985 |                      0.441352  |
| Al         |            1 |              0.123974 |                      0.215433  |
| Al         |            1 |              0.12203  |                      0.48465   |
| Al         |            1 |              0.122238 |                      0.157399  |
| Al         |            1 |              0.118488 |                      0.403075  |
| Al         |            1 |              0.122206 |                      0.539572  |
| Al         |            1 |              0.123876 |                      0.132833  |
| Al         |            1 |              0.122552 |                      0.145228  |
| Al         |            1 |              0.121504 |                      0.347316  |
| Al         |            1 |              0.121831 |                      0.398004  |
| Al         |            1 |              0.121924 |                      0.420116  |
| Al         |            1 |              0.120428 |                      0.413467  |
| Al         |            1 |              0.119895 |                      0.438942  |
| Al         |            1 |              0.123413 |                      0.241868  |
| Al         |            1 |              0.12179  |                      0.129097  |
| Al         |            1 |              0.121937 |                      0.440911  |
| Al         |            1 |              0.123113 |                      0.260776  |
| Al         |            1 |              0.123299 |                      0.260406  |
| Al         |            1 |              0.122688 |                      0.128522  |
| Al         |            1 |              0.121711 |                      0.47101   |
| Al         |            1 |              0.122954 |                      0.430812  |
| Al         |            1 |              0.123041 |                      0.148235  |
| Al         |            1 |              0.12115  |                      0.559443  |
| Al         |            1 |              0.123011 |                      0.166313  |
| Al         |            1 |              0.119119 |                      0.57305   |
| Al         |            1 |              0.122278 |                      0.418313  |
| Al         |            1 |              0.122048 |                      0.447703  |
| Al         |            1 |              0.122527 |                      0.208534  |
| Al         |            1 |              0.120626 |                      0.377105  |
| Ir         |            1 |              0.33029  |                      0.569162  |
| Ir         |            1 |              0.374175 |                      0.312255  |
| Ir         |            1 |              0.310901 |                      0.234174  |
| Ir         |            1 |              0.270419 |                      0.561504  |
| Ir         |            1 |              0.304642 |                      0.441653  |
| Ir         |            1 |              0.283526 |                      0.59832   |
| Ir         |            1 |              0.324061 |                      0.171427  |
| Ir         |            1 |              0.216586 |                      0.454261  |
| Ir         |            1 |              0.285258 |                      0.464362  |
| Ir         |            1 |              0.278747 |                      0.15593   |
| Ir         |            1 |              0.261439 |                      0.6104    |
+------------+--------------+-----------------------+--------------------------------+
+------------+--------------+-----------------------+--------------------------------+
| Material   |   In domain? |   GPR predicted error |   0.92788 * RF predicted Error |
|------------+--------------+-----------------------+--------------------------------|
| Al         |            1 |              0.142968 |                      0.163352  |
| Al         |            1 |              0.140769 |                      0.133086  |
| Al         |            1 |              0.141448 |                      0.126088  |
| Al         |            1 |              0.141783 |                      0.216895  |
| Al         |            1 |              0.142148 |                      0.123066  |
| Al         |            1 |              0.143275 |                      0.234304  |
| Al         |            1 |              0.140122 |                      0.117778  |
| Al         |            1 |              0.143254 |                      0.112511  |
| Al         |            1 |              0.134003 |                      0.459062  |
| Al         |            1 |              0.137863 |                      0.49679   |
| Al         |            1 |              0.140144 |                      0.246633  |
| Al         |            1 |              0.141676 |                      0.178836  |
| Al         |            1 |              0.134606 |                      0.430025  |
| Al         |            1 |              0.141874 |                      0.0980504 |
| Al         |            1 |              0.141353 |                      0.0707942 |
| Al         |            1 |              0.139591 |                      0.555325  |
| Al         |            1 |              0.142374 |                      0.107097  |
| Al         |            1 |              0.140925 |                      0.0893993 |
| Al         |            1 |              0.140801 |                      0.518332  |
| Al         |            1 |              0.142734 |                      0.218708  |
| Al         |            1 |              0.142695 |                      0.10478   |
| Al         |            1 |              0.139451 |                      0.389279  |
| Al         |            1 |              0.139298 |                      0.565672  |
| Al         |            1 |              0.143718 |                      0.1637    |
| Al         |            1 |              0.140701 |                      0.529464  |
| Al         |            1 |              0.140923 |                      0.133321  |
| Al         |            1 |              0.135957 |                      0.360683  |
| Al         |            1 |              0.141099 |                      0.414682  |
| Al         |            1 |              0.143758 |                      0.258148  |
| Al         |            1 |              0.141537 |                      0.132979  |
| Al         |            1 |              0.139952 |                      0.356149  |
| Al         |            1 |              0.140502 |                      0.440887  |
| Al         |            1 |              0.140613 |                      0.413046  |
| Al         |            1 |              0.138487 |                      0.466378  |
| Al         |            1 |              0.137825 |                      0.476095  |
| Al         |            1 |              0.142881 |                      0.239321  |
| Al         |            1 |              0.140313 |                      0.149252  |
| Al         |            1 |              0.140429 |                      0.418305  |
| Al         |            1 |              0.142409 |                      0.301064  |
| Al         |            1 |              0.142568 |                      0.208465  |
| Al         |            1 |              0.141469 |                      0.114822  |
| Al         |            1 |              0.140187 |                      0.412257  |
| Al         |            1 |              0.141998 |                      0.440375  |
| Al         |            1 |              0.142301 |                      0.154419  |
| Al         |            1 |              0.139386 |                      0.531828  |
| Al         |            1 |              0.142121 |                      0.156709  |
| Al         |            1 |              0.136402 |                      0.502499  |
| Al         |            1 |              0.140901 |                      0.410183  |
| Al         |            1 |              0.140647 |                      0.454017  |
| Al         |            1 |              0.141358 |                      0.0494593 |
| Al         |            1 |              0.138505 |                      0.465237  |
| Mg         |            1 |              0.375581 |                      0.556265  |
| Mg         |            1 |              0.352606 |                      0.298106  |
| Mg         |            1 |              0.4508   |                      0.18098   |
| Mg         |            1 |              0.402097 |                      0.334701  |
| Mg         |            1 |              0.31551  |                      0.466085  |
| Mg         |            1 |              0.361908 |                      0.427934  |
| Mg         |            1 |              0.365831 |                      0.265345  |
| Mg         |            1 |              0.414181 |                      0.18388   |
| Mg         |            1 |              0.352019 |                      0.46405   |
| Mg         |            1 |              0.337466 |                      0.329236  |
| Mg         |            1 |              0.344883 |                      0.313734  |
| Mg         |            1 |              0.30015  |                      0.327354  |
| Mg         |            1 |              0.5909   |                      0.484131  |
| Mg         |            1 |              0.364042 |                      0.235865  |
| Mg         |            1 |              0.36261  |                      0.413392  |
| Mg         |            1 |              0.357438 |                      0.563191  |
| Mg         |            1 |              0.418139 |                      0.391293  |
| Mg         |            1 |              0.46591  |                      0.329396  |
| Mg         |            1 |              0.50387  |                      0.239113  |
| Mg         |            1 |              0.365562 |                      0.443645  |
| Mg         |            1 |              0.337463 |                      0.55867   |
| Mg         |            1 |              0.337332 |                      0.361245  |
| Mg         |            1 |              0.378434 |                      0.561888  |
| Mg         |            1 |              0.351096 |                      0.172402  |
| Mg         |            1 |              0.337216 |                      0.310566  |
| Mg         |            1 |              0.370115 |                      0.530098  |
| Mg         |            1 |              0.344365 |                      0.229836  |
| Mg         |            1 |              0.360687 |                      0.246657  |
| Mg         |            1 |              0.353219 |                      0.15317   |
| Mg         |            1 |              0.349957 |                      0.493595  |
| Mg         |            1 |              0.421728 |                      0.442697  |
| Mg         |            1 |              0.372087 |                      0.309627  |
| Mg         |            1 |              0.388    |                      0.682822  |
| Mg         |            1 |              0.31948  |                      0.401562  |
| Mg         |            1 |              0.333565 |                      0.429125  |
| Mg         |            1 |              0.359594 |                      0.56727   |
| Mg         |            1 |              0.349344 |                      0.502527  |
| Mg         |            1 |              0.378383 |                      0.232094  |
| Mg         |            1 |              0.341463 |                      0.4438    |
| Mg         |            1 |              0.384357 |                      0.717021  |
| Mg         |            0 |              0.842893 |                      0.715124  |
| Mg         |            1 |              0.553913 |                      0.307781  |
| Mg         |            1 |              0.563686 |                      0.249468  |
| Mg         |            1 |              0.504847 |                      0.761661  |
| Mg         |            0 |              0.443584 |                      0.885044  |
| Mg         |            1 |              0.515364 |                      0.560435  |
| Mg         |            1 |              0.57838  |                      0.43707   |
| Mg         |            1 |              0.63342  |                      0.679551  |
| Mg         |            1 |              0.663073 |                      0.78571   |
| Mg         |            1 |              0.530577 |                      0.525518  |
+------------+--------------+-----------------------+--------------------------------+
+------------+--------------+-----------------------+--------------------------------+
| Material   |   In domain? |   GPR predicted error |   0.92788 * RF predicted Error |
|------------+--------------+-----------------------+--------------------------------|
| Al         |            1 |              0.114538 |                      0.158094  |
| Al         |            1 |              0.113314 |                      0.147098  |
| Al         |            1 |              0.113528 |                      0.0973552 |
| Al         |            1 |              0.113827 |                      0.251083  |
| Al         |            1 |              0.114092 |                      0.125487  |
| Al         |            1 |              0.11473  |                      0.27359   |
| Al         |            1 |              0.112998 |                      0.100556  |
| Al         |            1 |              0.114667 |                      0.147945  |
| Al         |            1 |              0.109343 |                      0.58515   |
| Al         |            1 |              0.111747 |                      0.577076  |
| Al         |            1 |              0.113038 |                      0.123394  |
| Al         |            1 |              0.113891 |                      0.245187  |
| Al         |            1 |              0.109545 |                      0.418074  |
| Al         |            1 |              0.113873 |                      0.10734   |
| Al         |            1 |              0.113566 |                      0.110349  |
| Al         |            1 |              0.112692 |                      0.450958  |
| Al         |            1 |              0.114211 |                      0.114595  |
| Al         |            1 |              0.113368 |                      0.165661  |
| Al         |            1 |              0.113327 |                      0.61033   |
| Al         |            1 |              0.114434 |                      0.302393  |
| Al         |            1 |              0.114525 |                      0.168091  |
| Al         |            1 |              0.11275  |                      0.516809  |
| Al         |            1 |              0.112501 |                      0.466313  |
| Al         |            1 |              0.115033 |                      0.228153  |
